Position,Club,Country_Code,Country,Participated,Titles,Played,Win,Draw,Loss,Goals For,Goals Against,Pts,Goal Diff
1,Real Madrid CF,ESP,Spain,52,14,464,277,79,108,1021,508.0,633.0,513.0
2,FC Bayern Munchen,GER,Germany,38,6,372,221,75,76,782,367.0,517.0,415.0
3,FC Barcelona,ESP,Spain,32,5,333,195,75,63,655,331.0,465.0,324.0
4,Manchester United,ENG,England,30,3,293,160,69,64,533,284.0,389.0,249.0
5,Juventus,ITA,Italy,36,2,295,152,70,73,470,288.0,374.0,182.0
6,Liverpool FC,ENG,England,26,6,240,137,50,53,453,216.0,324.0,237.0
7,AC Milan,ITA,Italy,29,7,255,126,65,64,422,240.0,317.0,182.0
8,SL Benfica,POR,Portugal,41,2,273,120,64,89,437,319.0,304.0,118.0
9,FC Porto,POR,Portugal,36,2,261,117,60,84,383,296.0,294.0,87.0
10,AFC Ajax,NED,Netherlands,38,4,241,110,64,67,385,266.0,284.0,119.0
11,FC Dynamo Kyiv,UKR,Ukraine,38,0,248,101,54,93,345,308.0,256.0,37.0
12,Chelsea FC,ENG,England,18,2,191,99,52,40,330,172.0,250.0,158.0
13,Arsenal FC,ENG,England,21,0,201,101,43,57,332,218.0,245.0,114.0
14,Celtic FC,SCO,Scotland,36,1,216,101,37,78,333,255.0,239.0,78.0
15,FC Internazionale Milano,ITA,Italy,23,3,192,91,51,50,271,193.0,233.0,78.0
16,Club Atletico de Madrid,ESP,Spain,17,0,154,75,40,39,221,143.0,190.0,78.0
17,Borussia Dortmund,GER,Germany,20,1,162,78,30,54,276,207.0,186.0,69.0
18,RSC Anderlecht,BEL,Belgium,34,0,200,70,44,86,282,320.0,184.0,-38.0
19,PSV Eindhoven,NED,Netherlands,29,1,183,68,42,73,243,228.0,178.0,15.0
20,Paris Saint-Germain,FRA,France,15,0,135,73,25,37,267,156.0,171.0,111.0
21,FK Crvena zvezda,SRB,Serbia,27,1,147,68,32,47,267,198.0,168.0,69.0
22,Olympique Lyonnais,FRA,France,18,0,148,65,37,46,232,178.0,167.0,54.0
23,Olympiacos FC,GRE,Greece,34,0,184,66,35,83,221,278.0,167.0,-57.0
24,Rangers FC,SCO,Scotland,31,0,163,62,40,61,234,222.0,164.0,12.0
25,Galatasaray AS,TUR,Turkey,27,0,177,57,43,77,215,279.0,157.0,-64.0
26,GNK Dinamo Zagreb,CRO,Croatia,23,0,144,60,30,54,213,199.0,150.0,14.0
27,Valencia CF,ESP,Spain,13,0,128,57,35,36,191,130.0,149.0,61.0
28,Rosenborg BK,NOR,Norway,25,0,152,58,31,63,224,232.0,147.0,-8.0
29,FC Shakhtar Donetsk,UKR,Ukraine,22,0,146,57,33,56,206,221.0,147.0,-15.0
30,FCSB,ROU,Romania,26,1,145,52,41,52,203,204.0,145.0,-1.0
31,Panathinaikos FC,GRE,Greece,28,0,157,49,45,63,182,214.0,143.0,-32.0
32,AC Sparta Praha,CZE,Czech Republic,28,0,146,54,30,62,190,203.0,138.0,-13.0
33,Manchester City FC,ENG,England,12,0,106,58,19,29,213,126.0,135.0,87.0
34,FC Basel 1893,SUI,Switzerland,21,0,118,47,23,48,170,192.0,117.0,-22.0
35,AS Monaco FC,FRA,France,17,0,116,46,23,47,182,155.0,115.0,27.0
36,FC Spartak Moskva,RUS,Russia,21,0,124,40,31,53,173,193.0,111.0,-20.0
37,AS Roma,ITA,Italy,13,0,110,41,27,42,148,158.0,109.0,-10.0
38,Bayer 4 Leverkusen,GER,Germany,12,0,111,42,24,45,167,172.0,108.0,-5.0
39,Club Brugge,BEL,Belgium,22,0,119,40,28,51,149,175.0,108.0,-26.0
40,Olympique de Marseille,FRA,France,15,1,108,44,19,45,153,131.0,107.0,22.0
41,FK Partizan,SRB,Serbia,22,0,105,41,24,40,161,133.0,106.0,28.0
42,FC BATE Borisov,BLR,Belarus,15,0,100,36,30,34,111,138.0,102.0,-27.0
43,PFC CSKA Sofia,BUL,Bulgaria,25,0,98,41,16,41,140,144.0,98.0,-4.0
44,F.C. Copenhagen,DEN,Denmark,15,0,86,37,19,30,123,100.0,93.0,23.0
45,PFC CSKA Moskva,RUS,Russia,15,0,104,34,24,46,125,155.0,92.0,-30.0
46,Feyenoord,NED,Netherlands,17,1,89,34,23,32,147,116.0,91.0,31.0
47,Legia Warszawa,POL,Poland,15,0,76,37,15,24,106,91.0,89.0,15.0
48,FC Salzburg,AUT,Austria,17,0,80,34,19,27,120,106.0,87.0,14.0
49,Malmo FF,SWE,Sweden,18,0,91,32,22,37,97,140.0,86.0,-43.0
50,Fenerbahce SK,TUR,Turkey,26,0,105,32,20,53,119,177.0,84.0,-58.0
51,IFK Goteborg,SWE,Sweden,15,0,82,35,13,34,138,119.0,83.0,19.0
52,APOEL FC,CYP,Cyprus,18,0,94,29,25,40,99,122.0,83.0,-23.0
53,FC Schalke 4,GER,Germany,10,0,77,31,18,28,109,117.0,80.0,-8.0
54,NK Maribor,SVN,Slovenia,15,0,78,31,18,29,92,110.0,80.0,-18.0
55,SK Rapid Wien,AUT,Austria,18,0,81,35,9,37,130,122.0,79.0,8.0
56,FC Sheriff Tiraspol,MDA,Moldova,19,0,84,31,17,36,90,89.0,79.0,1.0
57,Sporting Clube de Portugal,POR,Portugal,22,0,100,29,21,50,132,169.0,79.0,-37.0
58,Sevilla FC,ESP,Spain,9,0,66,29,17,20,104,91.0,75.0,13.0
59,FC Zenit,RUS,Russia,11,0,76,30,15,31,98,96.0,75.0,2.0
60,Besiktas JK,TUR,Turkey,21,0,89,27,19,43,89,153.0,73.0,-64.0
61,HJK Helsinki,FIN,Finland,21,0,76,28,13,35,101,117.0,69.0,-16.0
62,SV Werder Bremen,GER,Germany,9,0,66,27,14,25,109,107.0,68.0,2.0
63,RC Deportivo La Coruna,ESP,Spain,5,0,62,25,17,20,78,79.0,67.0,-1.0
64,FK Austria Wien,AUT,Austria,19,0,73,25,16,32,100,110.0,66.0,-10.0
65,SS Lazio,ITA,Italy,7,0,60,24,16,20,93,77.0,64.0,16.0
66,Ferencvarosi TC,HUN,Hungary,14,0,63,24,16,23,99,109.0,64.0,-10.0
67,VfL Borussia Monchengladbach,GER,Germany,9,0,55,22,16,17,110,74.0,60.0,36.0
68,Tottenham Hotspur,ENG,England,6,0,55,25,10,20,108,83.0,60.0,25.0
69,R. Standard de Liege,BEL,Belgium,14,0,58,25,10,23,87,73.0,60.0,14.0
70,SSC Napoli,ITA,Italy,9,0,52,22,15,15,80,65.0,59.0,15.0
71,FC Girondins de Bordeaux,FRA,France,7,0,50,21,16,13,54,54.0,58.0,0.0
72,FC Dinamo 1948,ROU,Romania,18,0,66,24,10,32,96,106.0,58.0,-10.0
73,AEK Athens FC,GRE,Greece,16,0,74,18,22,34,79,118.0,58.0,-39.0
74,ACF Fiorentina,ITA,Italy,5,0,45,21,15,9,63,49.0,57.0,14.0
75,FK Dukla Praha,CZE,Czech Republic,10,0,45,22,10,13,75,58.0,54.0,17.0
76,BSC Young Boys,SUI,Switzerland,14,0,57,19,15,23,77,109.0,53.0,-32.0
77,PFC Ludogorets 1945,BUL,Bulgaria,10,0,54,19,14,21,80,76.0,52.0,4.0
78,Leeds United AFC,ENG,England,4,0,40,22,6,12,76,41.0,50.0,35.0
79,Hamburger SV,GER,Germany,6,1,43,19,9,15,72,56.0,47.0,16.0
80,Qarabag FK,AZE,Azerbaijan,7,0,39,16,14,9,43,30.0,46.0,13.0
81,HNK Hajduk Split,CRO,Croatia,10,0,40,18,10,12,58,47.0,46.0,11.0
82,Gornik Zabrze,POL,Poland,12,0,43,20,6,17,69,65.0,46.0,4.0
83,AS Saint-Etienne,FRA,France,10,0,41,19,7,15,50,44.0,45.0,6.0
84,Ujpest FC,HUN,Hungary,11,0,44,18,8,18,70,72.0,44.0,-2.0
85,PFC Levski Sofia,BUL,Bulgaria,15,0,58,15,14,29,74,82.0,44.0,-8.0
86,LOSC Lille,FRA,France,8,0,56,14,16,26,49,63.0,44.0,-14.0
87,Villarreal CF,ESP,Spain,5,0,46,14,15,17,51,56.0,43.0,-5.0
88,FC Viktoria Plzen,CZE,Czech Republic,8,0,41,17,8,16,64,77.0,42.0,-13.0
89,Omonoia FC,CYP,Cyprus,20,0,55,17,8,30,65,112.0,42.0,-47.0
90,Grasshopper Club Zurich,SUI,Switzerland,15,0,54,15,11,28,80,85.0,41.0,-5.0
91,CFR 1907 Cluj,ROU,Romania,7,0,40,16,8,16,52,52.0,40.0,0.0
92,Maccabi Tel-Aviv FC,ISR,Israel,10,0,47,15,10,22,50,63.0,40.0,-13.0
93,FC Spartak Trnava,SVK,Slovakia,6,0,30,15,9,6,50,25.0,39.0,25.0
94,FC Zurich,SUI,Switzerland,11,0,45,17,5,23,56,77.0,39.0,-21.0
95,FC Lokomotiv Moskva,RUS,Russia,8,0,57,14,11,32,56,84.0,39.0,-28.0
96,Linfield FC,NIR,Northern Ireland,31,0,73,8,23,42,60,130.0,39.0,-70.0
97,Berliner FC Dynamo,GER,Germany,10,0,38,15,8,15,54,52.0,38.0,2.0
98,FC Nantes,FRA,France,8,0,40,12,14,14,52,54.0,38.0,-2.0
99,Skonto FC,LVA,Latvia,12,0,42,16,6,20,57,62.0,38.0,-5.0
