Player,Club,Appearances
Cristiano Ronaldo,Real Madrid CF,101
Cristiano Ronaldo,Juventus,23
Cristiano Ronaldo,Manchester United,59
Iker Casillas,Real Madrid CF,150
Iker Casillas,FC Porto,27
Lionel Messi,FC Barcelona,149
Lionel Messi,Paris Saint-Germain,7
Xavi Hernandez,FC Barcelona,151
Karim Benzema,Olympique Lyonnais,19
Karim Benzema,Real Madrid CF,123
Raul Gonzalez,Real Madrid CF,130
Raul Gonzalez,FC Schalke 04,12
Ryan Giggs,Manchester United,141
Thomas Muller,FC Bayern Munchen,10
Andres Iniesta,FC Barcelona,130
Ramos,Real Madrid CF,129
Manuel Neuer,FC Schalke 04,22
Manuel Neuer,FC Bayern Munchen,106
Toni Kroos,FC Bayern Munchen,41
Toni Kroos,Real Madrid CF,86
Sergio Busquets,FC Barcelona,125
Clarence Seedorf,AFC Ajax,11
Clarence Seedorf,Real Madrid CF,25
Clarence Seedorf,AC Milan,89
Gianluigi Buffon,Parma FC,6
Gianluigi Buffon,Paris Saint-Germain,5
Gianluigi Buffon,Juventus,113
Zlatan Ibrahimovic,AFC Ajax,19
Zlatan Ibrahimovic,Juventus,19
Zlatan Ibrahimovic,FC Internazionale Milano,22
Zlatan Ibrahimovic,FC Barcelona,10
Zlatan Ibrahimovic,Paris Saint-Germain,33
Zlatan Ibrahimovic,Manchester United,1
Zlatan Ibrahimovic,AC Milan,20
Gerard Pique,Manchester United,4
Gerard Pique,FC Barcelona,120
Paul Scholes,Manchester United,124
Roberto Carlos,Real Madrid CF,107
Roberto Carlos,Fenerbahce SK,13
Xabi Alonso,Real Sociedad de Futbol,8
Xabi Alonso,Liverpool FC,39
Xabi Alonso,Real Madrid CF,47
Xabi Alonso,FC Bayern Munchen,25
Carles Puyol,FC Barcelona,115
Thierry Henry,AS Monaco FC,9
Thierry Henry,FC Barcelona,26
Thierry Henry,Arsenal FC,77
Philipp Lahm,VfB Stuttgart,7
Philipp Lahm,FC Bayern Munchen,105
Dani Alves,Sevilla FC,8
Dani Alves,FC Barcelona,80
Dani Alves,Juventus,12
Dani Alves,Paris Saint-Germain,11
Petr Cech,AC Sparta Praha,12
Petr Cech,Chelsea FC,94
Petr Cech,Arsenal FC,5
Arjen Robben,PSV Eindhoven,10
Arjen Robben,Chelsea FC,19
Arjen Robben,Real Madrid CF,11
Arjen Robben,FC Bayern Munchen,70
