Player,Appearances
Cristiano Ronaldo,183
Iker Casillas,177
Lionel Messi,156
Xavi Hernandez,151
Karim Benzema,12
Raul Gonzalez,142
Ryan Giggs,141
Thomas Muller,10
Andres Iniesta,130
Ramos,129
Manuel Neuer,128
Toni Kroos,12
Sergio Busquets,125
Clarence Seedorf,125
Gianluigi Buffon,124
Zlatan Ibrahimovic,124
Gerard Pique,124
Paul Scholes,124
Roberto Carlos,120
Xabi Alonso,119
Carles Puyol,115
Thierry Henry,112
Philipp Lahm,112
Dani Alves,111
Petr Cech,111
Arjen Robben,110
Pepe,109
Paolo Maldini,109
Gary Neville,109
John Terry,109
Ashley Cole,108
Patrice Evra,108
Andrea Pirlo,108
David Beckham,107
Luka Modric,13
Robert Lewandowski,10
Victor Valdes,106
Frank Lampard,105
Cesc Fabregas,104
David Alaba,12
Oliver Kahn,103
Luis Figo,103
Fernandinho,103
Marcelo,102
Andriy Shevchenko,100
Angel Di Maria,99
Alessandro Nesta,99
Edwin van der Sar,98
Thiago Silva,97
Guti,97
Javier Zanetti,97
Claude Makelele,96
Javier Mascherano,96
Bastian Schweinsteiger,95
Maxwell,94
Michael Ballack,93
Rio Ferdinand,93
Fernando Morientes,93
Didier Drogba,92
Alessandro Del Piero,88
Hasan Salihamidzic,88
Raphael Varane,88
Ivan Helguera,87
Franck Ribery,87
Dejan Stankovic,87
Ricardo Carvalho,86
Kaka,86
Jerome Boateng,85
Ivan Rakitic,85
Wayne Rooney,85
Lucio,83
Gonzalo Higuain,83
Florent Malouda,83
Miralem Pjanic,83
Arturo Vidal,83
Jordi Alba,82
Massimo Ambrosini,82
Thiago Motta,82
Robert Pires,82
Koke,82
Mikael Silvestre,82
Casemiro,11
Frank de Boer,81
Sergei Ignashevich,81
Filippo Inzaghi,81
Michel Salgado,81
Jamie Carragher,80
Zinedine Zidane,80
Sergio Aguero,79
Esteban Cambiasso,79
Phillip Cocu,79
Gennaro Gattuso,79
Antoine Griezmann,79
Fernando Torres,79
Leonardo Bonucci,78
Samuel Eto'o,78
Sami Khedira,77
Olexandr Shovkovskiy,77
Ole Gunnar Solskjaer,77
Alessio Tacchinardi,77
Douglas Costa,76
Michael Essien,76
Pepe Reina,76
Pedro Rodriguez,76
Wesley Sneijder,76
Mark van Bommel,76
Patrick Vieira,76
Sylvain Wiltord,76
Thiago Alcantara,10
Neymar Jr,75
Deco,75
Giorgio Chiellini,74
Edgar Davids,74
Ilkay Gundogan,10
Alex Sandro,74
Pavel Nedved,74
Christian Panucci,74
Michael Reiziger,74
John Arne Riise,74
Marquinhos,73
Rivaldo,73
Gael Clichy,73
Steven Gerrard,73
Sidney Govou,73
Mats Hummels,73
Claudio Pizarro,73
Raheem Sterling,12
Luis Suarez,73
Ruud van Nistelrooy,73
Isco,72
Dida,72
Rafinha,72
Samuel Kuffour,72
Andriy Pyatov,72
Anthony Reveillere,72
Walter Samuel,72
Marco Verratti,72
Raul Albiol,12
Willian,71
William Gallas,71
Mohamed Salah,13
Roy Keane,71
Patrick Kluivert,71
John O'Shea,71
Roar Strand,71
Marc-Andre ter Stegen,71
Cesar Azpilicueta,70
Michael Carrick,70
Edinson Cavani,70
David Silva,70
Kakha Kaladze,70
Yaroslav Rakits'kyy,70
Fernando,70
Tomas Rosicky,70
Mehmet Scholl,70
Yaya Toure,70
Gianluca Zambrotta,70
Giovane Elber,69
Jan Oblak,10
Mesut Ozil,69
Nicolas Anelka,68
Alvaro Arbeloa,68
Dani Carvajal,11
Blaise Matuidi,68
Fernando Hierro,68
Nicky Butt,67
Martin Demichelis,67
Jens Lehmann,67
Alvaro Morata,67
Gianluca Pessotto,67
Lilian Thuram,67
Kolo Toure,67
Gareth Bale,66
Alex,66
Emmanuel Eboue,66
Javi Martinez,66
Bernardo Silva,11
Santiago Canizares,65
Alessandro Costacurta,65
Thibaut Courtois,13
Hernan Crespo,65
James Milner,65
Nicolas Otamendi,65
Axel Witsel,65
Jose Bosingwa,64
Diego Godin,64
Branislav Ivanovic,64
Fredrik Ljungberg,64
Hugo Lloris,64
Jesus Navas,64
Saul Niguez,64
Willy Sagnol,64
Alexis Sanchez,64
Julio Cesar,64
Wojciech Szczesny,64
Fabinho,13
Wes Brown,63
Lucho Gonzalez,63
Keylor Navas,63
Darijo Srna,63
Eric Abidal,62
Jorg Butt,62
Ze Roberto,62
Predrag Djordjevic,62
Julian Draxler,62
Edin Dzeko,62
Emerson,62
Darren Fletcher,62
Mario Gotze,62
Tomas Hubschman,62
Seydou Keita,62
Bixente Lizarazu,62
Jaap Stam,62
Fabio Cannavaro,61
Gregory Coupet,61
Luisao,61
Daniele De Rossi,61
Didier Deschamps,61
Joao Moutinho,61
Joshua Kimmich,61
Roy Makaay,61
Antonis Nikopolidis,61
Roque Santa Cruz,61
Santiago Solari,61
Igor Akinfeev,60
Nani,60
Ricardo Quaresma,60
Dimitar Berbatov,60
Ivan Cordoba,60
Kevin De Bruyne,10
Ederson,11
Jefferson Farfan,60
Erik Hoftun,60
Nwankwo Kanu,60
Mario Mandzukic,60
Maicon Sisenando,60
Juan Veron,60
Cris,59
Denis Irwin,59
John Obi Mikel,59
Phil Neville,59
Juninho Pernambucano,59
Robin van Persie,59
Theo Walcott,59
Eden Hazard,58
Aleksandr Hleb,58
Samir Nasri,58
Aaron Ramsey,58
David Trezeguet,58
David Albelda,57
Joe Cole,57
Danilo,57
Gilberto Silva,57
Aleksandar Kolarov,57
Mateo Kovacic,57
Jari Litmanen,57
Lucas Moura,57
Maxi Pereira,57
Paul Pogba,57
Bacary Sagna,57
Francesco Totti,57
Vitor Baia,56
Daley Blind,56
Adriano,56
Nemanja Matic,56
Paolo Montero,56
Marc Overmars,56
Angelo Peruzzi,56
Marco Reus,56
Javier Saviola,56
Aleksei Berezutski,55
David de Gea,55
Cafu,55
Mathieu Flamini,55
Sadio Mane,13
Adrien Rabiot,55
Bent Skammelsrud,55
