Player,Club,Goals
Cristiano Ronaldo,Real Madrid CF,105
Cristiano Ronaldo,Juventus,14
Cristiano Ronaldo,Manchester United,21
Lionel Messi,FC Barcelona,120
Lionel Messi,Paris Saint-Germain,5
Karim Benzema,Olympique Lyonnais,12
Karim Benzema,Real Madrid CF,74
Robert Lewandowski,Borussia Dortmund,17
Robert Lewandowski,FC Bayern Munchen,69
Raul Gonzalez,Real Madrid CF,66
Raul Gonzalez,FC Schalke 04,5
Ruud van Nistelrooy,PSV Eindhoven,8
Ruud van Nistelrooy,Manchester United,35
Ruud van Nistelrooy,Real Madrid CF,13
Thomas Muller,FC Bayern Munchen,52
Thierry Henry,AS Monaco FC,7
Thierry Henry,Arsenal FC,35
Thierry Henry,FC Barcelona,8
Zlatan Ibrahimovic,AFC Ajax,6
Zlatan Ibrahimovic,Juventus,3
Zlatan Ibrahimovic,FC Internazionale Milano,6
Zlatan Ibrahimovic,FC Barcelona,4
Zlatan Ibrahimovic,Paris Saint-Germain,20
Zlatan Ibrahimovic,Manchester United,0
Zlatan Ibrahimovic,AC Milan,9
Andriy Shevchenko,AC Milan,29
Andriy Shevchenko,Chelsea FC,4
Andriy Shevchenko,FC Dynamo Kyiv,15
Filippo Inzaghi,Juventus,17
Filippo Inzaghi,AC Milan,29
Didier Drogba,Olympique de Marseille,5
Didier Drogba,Galatasaray AS,3
Didier Drogba,Chelsea FC,36
Alessandro Del Piero,Juventus,42
Sergio Aguero,Club Atletico de Madrid,5
Sergio Aguero,Manchester City FC,36
Sergio Aguero,FC Barcelona,0
Neymar Jr,FC Barcelona,21
Neymar Jr,Paris Saint-Germain,20
Mohamed Salah,FC Basel 1893,2
Mohamed Salah,Chelsea FC,0
Mohamed Salah,AS Roma,1
Mohamed Salah,Liverpool FC,33
Edinson Cavani,SSC Napoli,5
Edinson Cavani,Paris Saint-Germain,30
Edinson Cavani,Manchester United,0
Kylian Mbappe,AS Monaco FC,6
Kylian Mbappe,Paris Saint-Germain,27
Fernando Morientes,Real Madrid CF,17
Fernando Morientes,AS Monaco FC,9
Fernando Morientes,Liverpool FC,1
Fernando Morientes,Valencia CF,6
Arjen Robben,PSV Eindhoven,3
Arjen Robben,Chelsea FC,2
Arjen Robben,Real Madrid CF,1
Arjen Robben,FC Bayern Munchen,25
Samuel Eto'o,RCD Mallorca,1
Samuel Eto'o,FC Barcelona,16
Samuel Eto'o,FC Internazionale Milano,10
Samuel Eto'o,Chelsea FC,3
Kaka,Real Madrid CF,5
Kaka,AC Milan,25
Wayne Rooney,Manchester United,30
Antoine Griezmann,FC Barcelona,4
Antoine Griezmann,Club Atletico de Madrid,25
Patrick Kluivert,AFC Ajax,9
Patrick Kluivert,FC Barcelona,20
Roy Makaay,Real Club Deportivo La Coruna,12
Roy Makaay,FC Bayern Munchen,17
David Trezeguet,AS Monaco FC,4
David Trezeguet,Juventus,25
Ryan Giggs,Manchester United,28
Rivaldo,FC Barcelona,22
Rivaldo,AC Milan,2
Rivaldo,Olympiacos FC,3
Luis Suarez,AFC Ajax,1
Luis Suarez,FC Barcelona,25
Luis Suarez,Club Atletico de Madrid,1
Mario Gomez,VfB Stuttgart,3
Mario Gomez,FC Bayern Munchen,23
Jardel,FC Porto,19
Jardel,Galatasaray AS,6
Hernan Crespo,Parma FC,2
Hernan Crespo,SS Lazio,2
Hernan Crespo,AC Milan,6
Hernan Crespo,Chelsea FC,4
Hernan Crespo,FC Internazionale Milano,11
Giovane Elber,FC Bayern Munchen,22
Giovane Elber,Olympique Lyonnais,3
Edin Dzeko,VfL Wolfsburg,4
Edin Dzeko,Manchester City FC,3
Edin Dzeko,AS Roma,15
Edin Dzeko,FC Internazionale Milano,3
Robin van Persie,Arsenal FC,18
Robin van Persie,Manchester United,7
Gonzalo Higuain,Real Madrid CF,8
Gonzalo Higuain,SSC Napoli,4
Gonzalo Higuain,Juventus,12
Luis Figo,FC Barcelona,7
Luis Figo,Real Madrid CF,16
Luis Figo,FC Internazionale Milano,1
Sadio Mane,Liverpool FC,24
Paul Scholes,Manchester United,24
Raheem Sterling,Liverpool FC,0
Raheem Sterling,Manchester City FC,24
Erling Haaland,FC Salzburg,8
Erling Haaland,Borussia Dortmund,15
Frank Lampard,Chelsea FC,23
Frank Lampard,Manchester City FC,0
Jari Litmanen,Liverpool FC,3
Jari Litmanen,AFC Ajax,20
Alvaro Morata,Real Madrid CF,4
Alvaro Morata,Chelsea FC,1
Alvaro Morata,Club Atletico de Madrid,3
Alvaro Morata,Juventus,15
